出发机场,到达机场,航班号,计划出发,计划到达,实际出发,实际到达,飞机号,是否取消,计划出发日期,计划到达日期,实际出发日期,实际到达日期,出发延迟,到达延迟,出发经度,出发纬度,到达经度,到达纬度,距离,平均温度,最高温度,最低温度,降水量,气压,风向,风速
SHA,JDZ,ZH9722,1455413100,1455417300,1455415740.0,1455419340.0,687.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,44.0,34.0,121,31,117,29,457,3.1,5.1,1.2,0.0,1029.6,319.0,15.0
KMG,SZX,MU5759,1455442500,1455450600,1455443160.0,1455448980.0,1570.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,11.0,-27.0,102,24,113,22,1224,11.9,20.9,3.0,0.0,,166.0,12.0
SHA,TNA,MU5571,1454455200,1454461800,1454455800.0,1454460540.0,669.0,正常,2016-02-02,2016-02-03,2016-02-02,2016-02-03,10.0,-21.0,121,31,116,36,615,1.6,5.2,-1.9,0.0,1032.2,283.0,8.0
CGO,SHE,ZH9438,1455626100,1455634500,1455629880.0,1455637140.0,2116.0,正常,2016-02-16,2016-02-16,2016-02-16,2016-02-16,63.0,44.0,113,34,123,41,1168,6.8,11.5,2.0,0.0,1027.1,270.0,15.0
SYX,XMN,MF8308,1454473200,1454480400,1454475780.0,1454481900.0,611.0,正常,2016-02-03,2016-02-03,2016-02-03,2016-02-03,43.0,25.0,109,18,118,24,1034,17.1,21.2,13.1,0.0,1019.9,33.0,23.0
HRB,TYN,ZH9431,1454546700,1454556300,1454547600.0,1454556660.0,696.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,15.0,6.0,126,45,112,37,1612,-13.1,-7.1,-19.1,0.0,1021.5,246.0,7.0
CGO,PVG,CZ3947,1455262200,1455268200,1455263280.0,1455268320.0,1400.0,正常,2016-02-12,2016-02-12,2016-02-12,2016-02-12,18.0,2.0,113,34,121,31,902,6.2,7.6,4.9,20.9,1014.5,313.0,14.0
WUH,XMN,CZ6939,1455687300,1455693000,1455688140.0,1455693060.0,920.0,正常,2016-02-17,2016-02-17,2016-02-17,2016-02-17,14.0,1.0,114,30,118,24,531,6.8,14.0,-0.3,0.0,1026.6,127.0,3.0
CGO,URC,GS7528,1454415000,1454431800,1454420280.0,1454434440.0,1991.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,88.0,44.0,113,34,88,43,2777,1.4,10.1,-7.2,0.0,1030.2,176.0,4.0
TYN,HET,DR6529,1454815800,1454819400,1454816760.0,1454819940.0,676.0,正常,2016-02-07,2016-02-07,2016-02-07,2016-02-07,16.0,9.0,112,37,111,40,165,-2.2,6.8,-11.3,0.0,1024.3,232.0,9.0
URC,TYN,ZH9236,1454379900,1454392500,1454385120.0,1454396040.0,2393.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,87.0,59.0,88,43,112,37,2667,-10.3,-7.0,-13.7,,1038.0,135.0,6.0
HGH,CKG,OQ2380,1456025700,1456035600,1456026420.0,1456034880.0,176.0,正常,2016-02-21,2016-02-21,2016-02-21,2016-02-21,12.0,-12.0,120,30,106,29,1557,7.2,12.3,2.1,6.9,1028.3,118.0,7.0
TNA,KMG,8L9866,1456026600,1456038600,1456027440.0,1456038780.0,1395.0,正常,2016-02-21,2016-02-21,2016-02-21,2016-02-21,14.0,3.0,116,36,102,24,1608,2.6,7.4,-2.1,0.0,1027.2,176.0,12.0
WUH,CTU,CA8207,1455148200,1455155700,1455148200.0,1455154200.0,2031.0,正常,2016-02-10,2016-02-11,2016-02-10,2016-02-11,0.0,-25.0,114,30,104,30,1111,12.2,16.6,7.9,1.0,1012.0,95.0,5.0
HET,CGO,GX8868,1455867300,1455872700,1455867000.0,1455871620.0,1236.0,正常,2016-02-19,2016-02-19,2016-02-19,2016-02-19,-5.0,-18.0,111,40,113,34,334,-7.2,-3.3,-11.1,0.0,1037.7,344.0,18.0
HET,CTU,DR6540,1456313400,1456321800,1456314060.0,1456322400.0,70.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,11.0,10.0,111,40,104,30,844,-9.8,-2.2,-17.4,0.0,1039.9,318.0,15.0
TYN,HET,DR6529,1454470200,1454473800,1454469960.0,1454473080.0,676.0,正常,2016-02-03,2016-02-03,2016-02-03,2016-02-03,-4.0,-12.0,112,37,111,40,165,-4.2,4.9,-13.4,0.0,1031.6,49.0,3.0
XMN,HGH,MU7420,1454427600,1454433900,1454431860.0,1454435940.0,1828.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,71.0,34.0,118,24,120,30,392,8.9,11.7,6.2,0.0,1025.7,77.0,6.0
CKG,SHA,FM9426,1455455400,1455464400,1455461340.0,1455467880.0,1177.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,99.0,58.0,106,29,121,31,1670,4.2,5.2,3.2,0.9,1033.6,332.0,7.0
CGO,SYX,PN6372,1455545400,1455558000,1455547080.0,1455557160.0,1969.0,正常,2016-02-15,2016-02-15,2016-02-15,2016-02-15,28.0,-14.0,113,34,109,18,773,3.0,7.1,-1.2,0.0,1030.7,277.0,19.0
KMG,TNA,SC4874,1456548600,1456559400,1456549080.0,1456558680.0,2310.0,正常,2016-02-27,2016-02-27,2016-02-27,2016-02-27,8.0,-12.0,102,24,116,36,1608,8.8,13.2,4.4,0.0,,277.0,4.0
HRB,PEK,CA1612,1455364800,1455372900,1455375300.0,1455382260.0,269.0,正常,2016-02-13,2016-02-13,2016-02-13,2016-02-13,175.0,156.0,126,45,116,40,1147,-7.7,-5.6,-9.7,0.0,1022.5,347.0,13.0
SHE,CGO,ZH9150,1454408400,1454417700,1454409420.0,1454417340.0,2387.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,17.0,-6.0,123,41,113,34,1168,-10.8,-1.8,-19.8,0.0,1028.6,170.0,5.0
CGO,SYX,CZ6347,1456144800,1456156500,1456145220.0,1456155780.0,2198.0,正常,2016-02-22,2016-02-22,2016-02-22,2016-02-22,7.0,-12.0,113,34,109,18,773,8.1,14.3,1.8,0.0,1029.3,299.0,7.0
WUH,FOC,MF8484,1454985900,1454991900,1454985840.0,1454990220.0,1981.0,正常,2016-02-09,2016-02-09,2016-02-09,2016-02-09,-1.0,-28.0,114,30,119,26,590,13.1,22.0,4.1,0.0,1016.7,134.0,7.0
XMN,SHA,MF8521,1454560200,1454566200,1454560860.0,1454565240.0,455.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,11.0,-16.0,118,24,121,31,507,13.1,16.7,9.4,0.0,1022.4,86.0,10.0
HFE,CKG,MU5483,1455021600,1455028500,1455022200.0,1455028320.0,1407.0,正常,2016-02-09,2016-02-09,2016-02-09,2016-02-09,10.0,-3.0,117,31,106,29,1225,11.3,20.9,1.7,0.0,1018.7,160.0,7.0
SJW,HRB,NS3255,1456617000,1456625400,1456617660.0,1456624440.0,949.0,正常,2016-02-27,2016-02-28,2016-02-28,2016-02-28,11.0,-16.0,114,38,126,45,1387,3.7,7.9,-0.5,0.0,1025.6,345.0,6.0
CGO,SZX,ZH9950,1456018500,1456027500,1456017900.0,1456025880.0,279.0,正常,2016-02-21,2016-02-21,2016-02-21,2016-02-21,-10.0,-27.0,113,34,113,22,520,3.0,5.7,0.2,0.6,1027.4,180.0,6.0
CKG,SZX,OQ2335,1456649700,1456657800,1456653300.0,1456659420.0,958.0,正常,2016-02-28,2016-02-28,2016-02-28,2016-02-28,60.0,27.0,106,29,113,22,819,15.6,22.5,8.7,0.0,1027.3,327.0,5.0
WUH,TAO,CZ3265,1456042200,1456049700,1456042620.0,1456048500.0,1721.0,正常,2016-02-21,2016-02-21,2016-02-21,2016-02-21,7.0,-20.0,114,30,120,36,731,6.2,11.2,1.2,7.9,1025.0,105.0,9.0
HGH,KMG,MU5645,1455430800,1455443100,1455432180.0,1455443100.0,66.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,23.0,0.0,120,30,102,24,2013,4.3,6.7,1.9,0.2,1030.4,334.0,18.0
SJW,HET,NS3261,1455170400,1455174900,1455170400.0,1455173940.0,898.0,正常,2016-02-11,2016-02-11,2016-02-11,2016-02-11,0.0,-16.0,114,38,111,40,344,6.6,9.0,4.2,0.0,1016.6,355.0,4.0
TYN,FOC,MF8162,1454296800,1454306100,1454296860.0,1454305500.0,1387.0,正常,2016-02-01,2016-02-01,2016-02-01,2016-02-01,1.0,-10.0,112,37,119,26,936,-7.6,1.3,-16.5,0.0,1039.6,64.0,5.0
NKG,SYX,HU7772,1455074100,1455085500,1455074820.0,1455085380.0,37.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,12.0,-2.0,118,31,109,18,1149,15.9,23.5,8.4,5.4,1015.1,130.0,9.0
CKG,SYX,GS7569,1456583100,1456591500,1456585740.0,1456593060.0,693.0,正常,2016-02-27,2016-02-27,2016-02-27,2016-02-27,44.0,26.0,106,29,109,18,495,14.2,21.2,7.3,0.0,1023.9,290.0,5.0
PEK,SHA,MU5108,1454381700,1454390100,1454383140.0,1454389500.0,1921.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,24.0,-10.0,116,40,121,31,731,-1.9,5.1,-9.0,0.0,1029.6,50.0,5.0
XMN,NKG,SC8811,1455929400,1455935700,1455931080.0,1455936060.0,1210.0,正常,2016-02-20,2016-02-20,2016-02-20,2016-02-20,28.0,6.0,118,24,118,31,365,15.5,18.6,12.4,0.1,1024.9,75.0,11.0
SHE,PEK,CA1626,1456578000,1456584300,1456577640.0,1456581900.0,1982.0,正常,2016-02-27,2016-02-27,2016-02-27,2016-02-27,-6.0,-40.0,123,41,116,40,780,-4.4,1.7,-10.5,0.0,1026.2,3.0,5.0
HRB,SJW,3U8388,1456316700,1456324200,1456318860.0,1456325580.0,2528.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,36.0,23.0,126,45,114,38,1387,-13.6,-6.0,-21.1,0.0,1030.1,243.0,8.0
HET,SJW,MU2768,1456373100,1456377000,1456373400.0,1456376820.0,32.0,正常,2016-02-25,2016-02-25,2016-02-25,2016-02-25,5.0,-3.0,111,40,114,38,344,-7.4,-2.1,-12.7,0.0,1037.9,331.0,14.0
TNA,KWL,SC1199,1454822400,1454830200,1454822460.0,1454830920.0,936.0,正常,2016-02-07,2016-02-07,2016-02-07,2016-02-07,1.0,12.0,116,36,110,25,818,3.7,7.9,-0.5,0.0,1020.6,209.0,10.0
HGH,TAO,HO1050,1455596400,1455603000,1455599760.0,1455604980.0,1489.0,正常,2016-02-16,2016-02-16,2016-02-16,2016-02-16,56.0,33.0,120,30,120,36,333,6.2,12.9,-0.6,0.0,1028.0,192.0,9.0
URC,PEK,CA1292,1455412500,1455425700,1455413700.0,1455425700.0,1858.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,20.0,0.0,88,43,116,40,3113,-14.9,-11.4,-18.5,0.0,1045.1,87.0,5.0
PVG,SHE,FM5601,1454378400,1454387400,1454380800.0,1454388060.0,2251.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,40.0,11.0,121,31,123,41,629,1.6,5.2,-1.9,0.0,1032.2,283.0,8.0
SYX,CTU,MU2532,1455981600,1455990900,1455982260.0,1455991020.0,2403.0,正常,2016-02-20,2016-02-20,2016-02-20,2016-02-20,11.0,2.0,109,18,104,30,670,17.0,19.3,14.7,0.7,1020.9,17.0,23.0
CGO,SZX,ZH9330,1456290600,1456299900,1456291620.0,1456299660.0,2261.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,17.0,-4.0,113,34,113,22,520,4.8,12.2,-2.6,0.0,1035.4,200.0,5.0
PEK,HGH,CA1704,1454644200,1454651700,1454645880.0,1454652840.0,1614.0,正常,2016-02-05,2016-02-05,2016-02-05,2016-02-05,28.0,19.0,116,40,120,30,684,0.5,3.4,-2.4,0.0,1031.1,360.0,15.0
SHE,PVG,FM9368,1455168000,1455176400,1455168240.0,1455175680.0,1180.0,正常,2016-02-11,2016-02-11,2016-02-11,2016-02-11,4.0,-12.0,123,41,121,31,629,4.2,13.6,-5.1,2.4,1017.3,160.0,8.0
URC,PEK,CA1294,1455102300,1455115500,1455104220.0,1455116760.0,1077.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,32.0,21.0,88,43,116,40,3113,-8.0,-5.0,-10.9,4.4,1034.0,4.0,8.0
WUH,FOC,MF8254,1454573700,1454579100,1454575080.0,1454580420.0,2148.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,23.0,22.0,114,30,119,26,590,6.8,11.6,1.9,0.0,1028.8,255.0,4.0
WUH,FOC,MU5399,1455936900,1455942000,1455940200.0,1455945120.0,311.0,正常,2016-02-20,2016-02-20,2016-02-20,2016-02-20,55.0,52.0,114,30,119,26,590,8.3,14.7,1.9,0.0,1028.7,41.0,6.0
SZX,HRB,DZ6253,1454548800,1454564400,1454550180.0,1454564400.0,624.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,23.0,0.0,113,22,126,45,1894,15.2,19.8,10.6,0.0,1022.0,326.0,6.0
KWL,PEK,CA1226,1455111600,1455121500,1455111360.0,1455120000.0,1809.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,-4.0,-25.0,110,25,116,40,927,12.2,17.2,7.2,0.0,1013.5,314.0,2.0
SYX,WUH,JD5627,1455848700,1455857700,1455851700.0,1455860100.0,299.0,正常,2016-02-19,2016-02-19,2016-02-19,2016-02-19,50.0,40.0,109,18,114,30,737,19.1,21.7,16.6,0.0,1018.9,81.0,12.0
FOC,CGO,MF8319,1455429300,1455437100,1455430860.0,1455438000.0,2288.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,26.0,15.0,119,26,113,34,771,14.2,19.7,8.7,22.3,1023.5,38.0,7.0
HRB,NKG,ZH9417,1455154800,1455164700,1455155400.0,1455164460.0,1393.0,正常,2016-02-11,2016-02-11,2016-02-11,2016-02-11,10.0,-4.0,126,45,118,31,1208,-1.6,6.9,-10.1,,1015.3,171.0,14.0
SJW,PVG,NS3217,1455786900,1455794100,1455787860.0,1455793500.0,1635.0,正常,2016-02-18,2016-02-18,2016-02-18,2016-02-18,16.0,-10.0,114,38,121,31,856,8.6,14.7,2.5,0.0,1022.0,276.0,11.0
TAO,SHA,SC4665,1454916600,1454922600,1454916360.0,1454920620.0,694.0,正常,2016-02-08,2016-02-08,2016-02-08,2016-02-08,-4.0,-33.0,120,36,121,31,303,7.4,13.3,1.5,0.0,1018.3,273.0,9.0
KWL,PEK,CA1226,1455802800,1455812700,1455808260.0,1455817020.0,1858.0,正常,2016-02-18,2016-02-18,2016-02-18,2016-02-18,91.0,72.0,110,25,116,40,927,11.6,17.6,5.6,0.0,1021.6,102.0,4.0
HGH,PEK,CA1707,1456125600,1456134000,1456126140.0,1456132980.0,1260.0,正常,2016-02-22,2016-02-22,2016-02-22,2016-02-22,9.0,-17.0,120,30,116,40,684,6.8,7.8,5.9,12.9,1028.2,15.0,6.0
HGH,SHE,CZ3909,1456203900,1456213500,1456205520.0,1456213560.0,2226.0,正常,2016-02-23,2016-02-23,2016-02-23,2016-02-23,27.0,1.0,120,30,123,41,719,7.3,8.2,6.4,0.0,1034.2,7.0,12.0
XMN,HGH,MF8153,1456291500,1456296600,1456294020.0,1456298280.0,1243.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,42.0,28.0,118,24,120,30,392,11.2,13.1,9.4,,1030.6,27.0,20.0
WUH,TAO,HU7841,1455245400,1455253200,1455245640.0,1455252180.0,666.0,正常,2016-02-12,2016-02-12,2016-02-12,2016-02-12,4.0,-17.0,114,30,120,36,731,15.8,19.3,12.4,9.3,1008.6,11.0,11.0
WUH,CKG,OQ2378,1455354600,1455360600,1455355740.0,1455360420.0,750.0,正常,2016-02-13,2016-02-13,2016-02-13,2016-02-13,19.0,-3.0,114,30,106,29,890,8.0,10.6,5.4,4.3,1024.1,7.0,18.0
CTU,SZX,HU7752,1455789600,1455798000,1455790260.0,1455796740.0,1508.0,正常,2016-02-18,2016-02-18,2016-02-18,2016-02-18,11.0,-21.0,104,30,113,22,1037,10.2,15.5,5.0,0.0,1021.7,318.0,4.0
CGO,NKG,MU2780,1454937300,1454941800,1454937420.0,1454941320.0,32.0,正常,2016-02-08,2016-02-08,2016-02-08,2016-02-08,2.0,-8.0,113,34,118,31,574,10.2,20.5,-0.1,0.0,1017.4,268.0,7.0
KWL,HFE,MU5388,1456500300,1456506300,1456500660.0,1456505760.0,1171.0,正常,2016-02-26,2016-02-26,2016-02-26,2016-02-26,6.0,-9.0,110,25,117,31,821,10.6,14.0,7.1,0.8,1030.2,89.0,5.0
FOC,SHA,MF8541,1455939000,1455944400,1455939240.0,1455943560.0,1387.0,正常,2016-02-20,2016-02-20,2016-02-20,2016-02-20,4.0,-14.0,119,26,121,31,355,15.2,18.9,11.6,0.0,1026.9,14.0,9.0
SHA,SJW,9C8903,1456528800,1456536900,1456529280.0,1456535880.0,90.0,正常,2016-02-26,2016-02-27,2016-02-26,2016-02-27,8.0,-17.0,121,31,114,38,856,10.2,16.5,3.9,0.0,1027.5,192.0,8.0
CGO,SHE,ZH9637,1456637700,1456646400,1456639380.0,1456646820.0,696.0,正常,2016-02-28,2016-02-28,2016-02-28,2016-02-28,28.0,7.0,113,34,123,41,1168,8.1,11.9,4.3,0.0,1031.7,87.0,10.0
TYN,CKG,MU5599,1454718300,1454726100,1454718120.0,1454725560.0,1444.0,正常,2016-02-06,2016-02-06,2016-02-06,2016-02-06,-3.0,-9.0,112,37,106,29,725,-4.5,3.9,-12.8,0.0,1032.8,240.0,7.0
CGO,KWL,GS7843,1454464800,1454472600,1454465700.0,1454472600.0,1098.0,正常,2016-02-03,2016-02-03,2016-02-03,2016-02-03,15.0,0.0,113,34,110,25,494,2.4,10.1,-5.3,0.0,1028.8,144.0,5.0
WUH,PVG,CZ3543,1456314900,1456320300,1456317840.0,1456321800.0,946.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,49.0,25.0,114,30,121,31,780,8.0,14.7,1.3,0.0,1035.3,36.0,3.0
SJW,SHA,9C8904,1454662500,1454670300,1454662800.0,1454668620.0,525.0,正常,2016-02-05,2016-02-05,2016-02-05,2016-02-05,5.0,-28.0,114,38,121,31,856,0.3,6.0,-5.4,0.0,1031.8,279.0,10.0
CTU,NKG,CA4505,1456027200,1456036500,1456028160.0,1456035540.0,1632.0,正常,2016-02-21,2016-02-21,2016-02-21,2016-02-21,16.0,-16.0,104,30,118,31,1557,10.6,11.9,9.3,8.8,1020.6,325.0,5.0
CKG,SZX,HU7058,1455158400,1455165900,1455158700.0,1455164820.0,1948.0,正常,2016-02-11,2016-02-11,2016-02-11,2016-02-11,5.0,-18.0,106,29,113,22,819,14.9,19.2,10.7,0.0,1005.9,195.0,3.0
KWL,TNA,JD5583,1454636400,1454644200,1454636820.0,1454644620.0,231.0,正常,2016-02-05,2016-02-05,2016-02-05,2016-02-05,7.0,7.0,110,25,116,36,818,9.6,15.4,3.8,0.0,1028.2,12.0,11.0
HFE,HRB,ZH9420,1455447600,1455458400,1455449760.0,1455459480.0,376.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,36.0,18.0,117,31,126,45,1283,3.0,5.2,0.9,0.0,1032.9,330.0,11.0
XMN,HFE,MU5598,1454336400,1454342100,1454337360.0,1454342100.0,2064.0,正常,2016-02-01,2016-02-01,2016-02-01,2016-02-01,16.0,0.0,118,24,117,31,375,9.1,11.0,7.1,9.9,1025.2,71.0,10.0
HGH,SZX,CZ6327,1455702300,1455711300,1455705540.0,1455712200.0,1456.0,正常,2016-02-17,2016-02-17,2016-02-17,2016-02-17,54.0,15.0,120,30,113,22,872,7.3,13.0,1.6,0.0,1027.3,131.0,6.0
TAO,SJW,MU5253,1455582300,1455587100,1455582780.0,1455586800.0,522.0,正常,2016-02-16,2016-02-16,2016-02-16,2016-02-16,8.0,-5.0,120,36,114,38,674,3.2,7.2,-0.8,0.0,1024.2,307.0,13.0
KWL,XMN,SC4764,1454480700,1454486100,1454481540.0,1454485800.0,1737.0,正常,2016-02-03,2016-02-03,2016-02-03,2016-02-03,14.0,-5.0,110,25,118,24,890,6.7,10.9,2.5,0.0,1026.3,5.0,6.0
SHE,CTU,CA4186,1454558400,1454572500,1454559660.0,1454572380.0,29.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,21.0,-2.0,123,41,104,30,2159,-6.1,-1.0,-11.2,0.0,1027.1,229.0,7.0
FOC,NKG,PN6324,1455101700,1455107400,1455102540.0,1455106320.0,198.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,14.0,-18.0,119,26,118,31,287,16.3,23.0,9.6,6.2,1018.7,202.0,6.0
TNA,KMG,8L9866,1454384100,1454396100,1454386140.0,1454398200.0,1628.0,正常,2016-02-02,2016-02-02,2016-02-02,2016-02-02,34.0,35.0,116,36,102,24,1608,0.5,6.5,-5.5,0.0,1030.6,186.0,9.0
XMN,CKG,MF8449,1456563900,1456573500,1456564080.0,1456573920.0,2128.0,正常,2016-02-27,2016-02-27,2016-02-27,2016-02-27,3.0,7.0,118,24,106,29,1349,14.2,17.7,10.8,0.0,1024.9,136.0,6.0
CGO,PVG,MU211,1454585100,1454591700,1454585160.0,1454590560.0,522.0,正常,2016-02-04,2016-02-04,2016-02-04,2016-02-04,1.0,-19.0,113,34,121,31,902,3.8,10.1,-2.5,0.0,1029.3,114.0,5.0
CTU,HGH,EU2209,1456618800,1456627800,1456620540.0,1456628820.0,331.0,正常,2016-02-28,2016-02-28,2016-02-28,2016-02-28,29.0,17.0,104,30,120,30,1779,15.6,22.5,8.7,0.0,1027.3,327.0,5.0
SHA,XMN,MF8518,1455319500,1455326400,1455329940.0,1455335040.0,43.0,正常,2016-02-12,2016-02-13,2016-02-13,2016-02-13,174.0,144.0,121,31,118,24,507,16.8,20.5,13.0,0.0,1010.3,128.0,8.0
PVG,TAO,QW9778,1456326300,1456332000,1456329420.0,1456332960.0,1472.0,正常,2016-02-24,2016-02-24,2016-02-24,2016-02-24,52.0,16.0,121,31,120,36,303,5.6,7.8,3.4,0.0,1038.3,54.0,8.0
HGH,SZX,CA1735,1455015000,1455023400,1455015180.0,1455022140.0,466.0,正常,2016-02-09,2016-02-09,2016-02-09,2016-02-09,3.0,-21.0,120,30,113,22,872,13.4,21.8,5.1,0.0,1020.9,157.0,7.0
PVG,FOC,FU6520,1455074100,1455080100,1455074520.0,1455079140.0,63.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,7.0,-16.0,121,31,119,26,355,13.1,20.9,5.2,0.0,1018.2,152.0,13.0
HRB,PVG,FM9174,1456123800,1456135200,1456124580.0,1456135320.0,1989.0,正常,2016-02-22,2016-02-22,2016-02-22,2016-02-22,13.0,2.0,126,45,121,31,1020,-14.1,-10.9,-17.3,0.0,1031.7,357.0,12.0
HGH,PEK,HU7678,1456565400,1456573800,1456566000.0,1456572540.0,181.0,正常,2016-02-27,2016-02-27,2016-02-27,2016-02-27,10.0,-21.0,120,30,116,40,684,14.0,20.6,7.4,0.0,1023.9,185.0,11.0
CTU,WUH,3U8985,1454457000,1454463600,1454457660.0,1454463060.0,369.0,正常,2016-02-02,2016-02-03,2016-02-03,2016-02-03,11.0,-9.0,104,30,114,30,1111,7.7,9.9,5.5,0.0,1027.7,319.0,5.0
FOC,WUH,MF8413,1454737800,1454744100,1454738640.0,1454745300.0,789.0,正常,2016-02-06,2016-02-06,2016-02-06,2016-02-06,14.0,20.0,119,26,114,30,590,9.9,14.6,5.3,0.0,1028.0,308.0,10.0
KWL,PVG,FM9382,1455233400,1455241200,1455234660.0,1455250440.0,1275.0,正常,2016-02-11,2016-02-12,2016-02-11,2016-02-12,21.0,154.0,110,25,121,31,1254,16.2,19.1,13.4,0.0,1010.3,130.0,3.0
NKG,HRB,MU2703,1455449400,1455459000,1455468180.0,1455476880.0,835.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,313.0,298.0,118,31,126,45,1208,2.8,5.7,-0.1,0.0,1032.1,330.0,19.0
HFE,CKG,3U8228,1455074700,1455081600,1455075060.0,1455080760.0,2461.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,6.0,-14.0,117,31,106,29,1225,15.9,22.5,9.4,4.5,1014.0,172.0,8.0
CGO,URC,PN6245,1454314800,1454331600,1454319360.0,1454333340.0,1219.0,正常,2016-02-01,2016-02-01,2016-02-01,2016-02-01,76.0,29.0,113,34,88,43,2777,-1.8,5.7,-9.2,0.0,1036.7,246.0,6.0
TYN,SZX,MU2363,1456474500,1456485000,1456475280.0,1456485240.0,337.0,正常,2016-02-26,2016-02-26,2016-02-26,2016-02-26,13.0,4.0,112,37,113,22,646,1.6,11.9,-8.6,0.0,1025.2,232.0,8.0
WUH,HRB,CZ6278,1455796200,1455807900,1455797460.0,1455807660.0,1285.0,正常,2016-02-18,2016-02-18,2016-02-18,2016-02-18,21.0,-4.0,114,30,126,45,1564,8.2,16.9,-0.4,0.0,1023.0,119.0,3.0
HET,SHA,MU5690,1455455400,1455464700,1455457320.0,1455465180.0,1379.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,32.0,8.0,111,40,121,31,1192,-13.3,-9.1,-17.6,0.0,1042.0,299.0,14.0
SHA,KMG,MU5806,1454742600,1454755800,1454744700.0,1454756640.0,1336.0,正常,2016-02-06,2016-02-06,2016-02-06,2016-02-06,35.0,14.0,121,31,102,24,2128,4.3,6.5,2.2,0.0,1030.6,323.0,10.0
TYN,NKG,HU7395,1455450000,1455456900,1455450660.0,1455456000.0,893.0,正常,2016-02-14,2016-02-14,2016-02-14,2016-02-14,11.0,-15.0,112,37,118,31,723,-6.5,-2.0,-11.0,0.0,1037.9,285.0,12.0
TNA,KWL,DR6536,1454325300,1454332500,1454326080.0,1454335200.0,40.0,正常,2016-02-01,2016-02-01,2016-02-01,2016-02-01,13.0,45.0,116,36,110,25,818,-2.5,3.1,-8.2,0.0,1036.4,129.0,7.0
SYX,PEK,CA1804,1455173700,1455187800,1455174480.0,1455185940.0,1008.0,正常,2016-02-11,2016-02-11,2016-02-11,2016-02-11,13.0,-31.0,109,18,116,40,1205,21.4,24.5,18.2,0.0,1013.7,145.0,13.0
CGO,URC,HU7693,1455074400,1455090900,1455074220.0,1455088560.0,1692.0,正常,2016-02-10,2016-02-10,2016-02-10,2016-02-10,-3.0,-39.0,113,34,88,43,2777,7.4,10.7,4.1,,1014.8,61.0,6.0
KWL,CTU,CA4324,1455031200,1455038100,1455032700.0,1455039060.0,316.0,正常,2016-02-09,2016-02-09,2016-02-09,2016-02-09,25.0,16.0,110,25,104,30,686,14.0,22.4,5.6,0.0,1018.4,156.0,3.0
CTU,PEK,CZ616B,1455336600,1455345900,1455339780.0,1455347220.0,1104.0,正常,2016-02-13,2016-02-13,2016-02-13,2016-02-13,53.0,22.0,104,30,116,40,1382,10.2,11.7,8.7,1.3,1022.3,327.0,10.0
SJW,SHE,CZ6310,1456114500,1456119600,1456115400.0,1456119840.0,966.0,正常,2016-02-22,2016-02-22,2016-02-22,2016-02-22,15.0,4.0,114,38,123,41,1013,2.4,8.1,-3.3,0.0,1030.4,61.0,4.0
SJW,CTU,KN2375,1455321300,1455330900,1455321720.0,1455330840.0,1175.0,正常,2016-02-12,2016-02-13,2016-02-13,2016-02-13,7.0,-1.0,114,38,104,30,1146,2.4,4.6,0.1,13.1,1017.5,344.0,6.0
WUH,SHA,MU2505,1456196400,1456201500,1456199160.0,1456203720.0,1553.0,正常,2016-02-23,2016-02-23,2016-02-23,2016-02-23,46.0,37.0,114,30,121,31,780,7.4,12.5,2.3,0.0,1034.6,19.0,10.0
